district,year,season,crop,sowing_date,harvest_date,estimated_yield_kg_per_ha,ndvi.early,ndvi.mid,ndvi.late,soil_type,ph_range,organic_carbon,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,annual_avg_rainfall_mm,monsoon_rainfall_mm,avg_annual_temp_C,avg_max_temp_C,avg_min_temp_C,avg_relative_humidity_pct,growing_degree_days_GDD,typical_monsoon_onset,typical_monsoon_end,notes,ndvi.early_from_ndvi,ndvi.mid_from_ndvi,ndvi.late_from_ndvi
Amritsar,2024,Rabi,Barley,2024-11-15,2025-04-10,1620,0.21,0.4,0.34,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.22,0.44,0.35
Amritsar,2024,Rabi,Mustard,2024-11-15,2025-04-10,2072,0.3,0.45,0.39,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.22,0.44,0.35
Amritsar,2024,Kharif,Paddy,2024-06-20,2024-10-15,4109,0.39,0.57,0.47,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.34,0.59,0.49
Amritsar,2024,Kharif,Maize,2024-06-20,2024-10-15,3108,0.38,0.49,0.43,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.34,0.59,0.49
Amritsar,2024,Kharif,Cotton,2024-06-20,2024-10-15,2732,0.21,0.34,0.27,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.34,0.59,0.49
Amritsar,2024,Zaid,Moong,2024-03-15,2024-06-10,1838,0.27,0.4,0.32,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.41,0.33
Amritsar,2024,Zaid,Vegetables,2024-03-15,2024-06-10,2174,0.23,0.41,0.36,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.41,0.33
Amritsar,2024,Zaid,Sunflower,2024-03-15,2024-06-10,2266,0.35,0.53,0.48,Sandy,"[6.9, 7.7]",0.81,284.0,10.0,238.0,650,488,24.0,32.0,16.0,65,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.41,0.33
Barnala,2023,Rabi,Wheat,2023-11-15,2024-04-10,2596,0.27,0.38,0.29,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Rabi,Barley,2023-11-15,2024-04-10,2329,0.21,0.34,0.27,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Rabi,Mustard,2023-11-15,2024-04-10,1540,0.35,0.51,0.42,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Kharif,Paddy,2023-06-20,2023-10-15,3962,0.34,0.52,0.44,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Kharif,Maize,2023-06-20,2023-10-15,2660,0.35,0.5,0.42,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Kharif,Cotton,2023-06-20,2023-10-15,2481,0.22,0.32,0.24,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Zaid,Moong,2023-03-15,2023-06-10,1839,0.26,0.41,0.31,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Zaid,Vegetables,2023-03-15,2023-06-10,1551,0.35,0.47,0.42,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2023,Zaid,Sunflower,2023-03-15,2023-06-10,2150,0.26,0.38,0.28,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Barnala,2024,Rabi,Wheat,2024-11-15,2025-04-10,3663,0.37,0.55,0.49,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.5,0.37
Barnala,2024,Rabi,Barley,2024-11-15,2025-04-10,1907,0.38,0.53,0.44,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.5,0.37
Barnala,2024,Rabi,Mustard,2024-11-15,2025-04-10,1968,0.22,0.34,0.27,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.5,0.37
Barnala,2024,Kharif,Paddy,2024-06-20,2024-10-15,2672,0.36,0.55,0.5,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.28,0.39,0.31
Barnala,2024,Kharif,Maize,2024-06-20,2024-10-15,2920,0.24,0.35,0.28,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.28,0.39,0.31
Barnala,2024,Kharif,Cotton,2024-06-20,2024-10-15,2217,0.39,0.52,0.44,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.28,0.39,0.31
Barnala,2024,Zaid,Moong,2024-03-15,2024-06-10,2421,0.39,0.59,0.53,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.51,0.41
Barnala,2024,Zaid,Vegetables,2024-03-15,2024-06-10,2030,0.3,0.43,0.37,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.51,0.41
Barnala,2024,Zaid,Sunflower,2024-03-15,2024-06-10,1870,0.3,0.41,0.35,Alluvial,"[7.4, 7.5]",0.85,282.0,24.0,160.0,565,424,24.5,32.5,16.5,71,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.51,0.41
Bathinda,2023,Rabi,Wheat,2023-11-15,2024-04-10,3335,0.38,0.5,0.44,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Rabi,Barley,2023-11-15,2024-04-10,1997,0.25,0.42,0.33,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Rabi,Mustard,2023-11-15,2024-04-10,2151,0.25,0.42,0.35,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Kharif,Paddy,2023-06-20,2023-10-15,4696,0.31,0.42,0.33,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Kharif,Maize,2023-06-20,2023-10-15,3397,0.26,0.38,0.33,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Kharif,Cotton,2023-06-20,2023-10-15,2762,0.2,0.35,0.29,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Zaid,Moong,2023-03-15,2023-06-10,2186,0.33,0.45,0.37,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Zaid,Vegetables,2023-03-15,2023-06-10,1951,0.23,0.36,0.3,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2023,Zaid,Sunflower,2023-03-15,2023-06-10,2313,0.38,0.57,0.51,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Bathinda,2024,Rabi,Wheat,2024-11-15,2025-04-10,3410,0.31,0.46,0.4,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.49,0.38
Bathinda,2024,Rabi,Barley,2024-11-15,2025-04-10,1567,0.22,0.41,0.31,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.49,0.38
Bathinda,2024,Rabi,Mustard,2024-11-15,2025-04-10,2097,0.27,0.44,0.35,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.49,0.38
Bathinda,2024,Kharif,Paddy,2024-06-20,2024-10-15,4113,0.38,0.56,0.48,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.52,0.42
Bathinda,2024,Kharif,Maize,2024-06-20,2024-10-15,3096,0.2,0.31,0.23,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.52,0.42
Bathinda,2024,Kharif,Cotton,2024-06-20,2024-10-15,2814,0.2,0.32,0.24,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.39,0.52,0.42
Bathinda,2024,Zaid,Moong,2024-03-15,2024-06-10,2397,0.24,0.41,0.35,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.5,0.4
Bathinda,2024,Zaid,Vegetables,2024-03-15,2024-06-10,2127,0.27,0.44,0.36,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.5,0.4
Bathinda,2024,Zaid,Sunflower,2024-03-15,2024-06-10,2282,0.31,0.42,0.35,Sandy Loam,"[6.6, 8.3]",0.58,248.0,10.0,233.0,430,322,24.5,34.5,14.5,66,5292,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.38,0.5,0.4
Faridkot,2023,Rabi,Wheat,2023-11-15,2024-04-10,3551,0.25,0.37,0.27,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Rabi,Barley,2023-11-15,2024-04-10,1928,0.33,0.51,0.43,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Rabi,Mustard,2023-11-15,2024-04-10,1559,0.32,0.47,0.41,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Kharif,Paddy,2023-06-20,2023-10-15,4488,0.2,0.36,0.3,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Kharif,Maize,2023-06-20,2023-10-15,2756,0.39,0.59,0.49,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Kharif,Cotton,2023-06-20,2023-10-15,2722,0.39,0.59,0.5,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Zaid,Moong,2023-03-15,2023-06-10,1722,0.26,0.4,0.31,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Zaid,Vegetables,2023-03-15,2023-06-10,1846,0.31,0.5,0.42,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2023,Zaid,Sunflower,2023-03-15,2023-06-10,2317,0.31,0.42,0.34,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Faridkot,2024,Rabi,Wheat,2024-11-15,2025-04-10,3220,0.35,0.52,0.43,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.35,0.55,0.45
Faridkot,2024,Rabi,Barley,2024-11-15,2025-04-10,2091,0.27,0.4,0.31,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.35,0.55,0.45
Faridkot,2024,Rabi,Mustard,2024-11-15,2025-04-10,1864,0.38,0.53,0.45,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.35,0.55,0.45
Faridkot,2024,Kharif,Paddy,2024-06-20,2024-10-15,4116,0.36,0.52,0.43,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.24,0.41,0.32
Faridkot,2024,Kharif,Maize,2024-06-20,2024-10-15,2861,0.27,0.41,0.36,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.24,0.41,0.32
Faridkot,2024,Kharif,Cotton,2024-06-20,2024-10-15,1963,0.32,0.42,0.35,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.24,0.41,0.32
Faridkot,2024,Zaid,Moong,2024-03-15,2024-06-10,2107,0.32,0.42,0.37,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.45,0.32
Faridkot,2024,Zaid,Vegetables,2024-03-15,2024-06-10,2468,0.36,0.5,0.44,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.45,0.32
Faridkot,2024,Zaid,Sunflower,2024-03-15,2024-06-10,2038,0.24,0.4,0.35,Alluvial,"[7.5, 8.4]",0.84,201.0,20.0,222.0,420,315,24.0,33.0,15.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.3,0.45,0.32
Fatehgarh Sahib,2023,Rabi,Wheat,2023-11-15,2024-04-10,3745,0.21,0.36,0.28,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Rabi,Barley,2023-11-15,2024-04-10,2248,0.4,0.55,0.48,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Rabi,Mustard,2023-11-15,2024-04-10,1607,0.36,0.49,0.42,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Kharif,Paddy,2023-06-20,2023-10-15,4830,0.23,0.35,0.29,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Kharif,Maize,2023-06-20,2023-10-15,2932,0.31,0.48,0.4,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Kharif,Cotton,2023-06-20,2023-10-15,2995,0.32,0.46,0.4,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Zaid,Moong,2023-03-15,2023-06-10,1928,0.27,0.45,0.4,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Zaid,Vegetables,2023-03-15,2023-06-10,2561,0.22,0.37,0.3,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2023,Zaid,Sunflower,2023-03-15,2023-06-10,2462,0.23,0.37,0.3,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,,,
Fatehgarh Sahib,2024,Rabi,Wheat,2024-11-15,2025-04-10,3729,0.21,0.35,0.27,Silty Loam,"[7.3, 7.7]",0.78,242.0,15.0,198.0,420,315,24.0,32.0,16.0,70,5110,Week 26-28 (late June - early July),Week 35-38 (late Aug - Sep),Synthetic / demo values — use IMD or state datasets for production,0.35,0.5,0.39
